akun,anggaran,realisasi,persentase
" Pendapatan Daerah","920,58 M","1.004,14 M",109.08
" PAD","201,77 M","203,32 M",100.76
" Pajak Daerah","151,27 M","185,69 M",122.75
" Retribusi Daerah","18,60 M","6,95 M",37.35
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,36 M","3,28 M",97.80
" Lain-Lain PAD yang Sah","28,54 M","7,40 M",25.93
" TKDD","656,05 M","685,44 M",104.48
" Pendapatan Transfer Pemerintah Pusat","656,05 M","685,44 M",104.48
" Pendapatan Lainnya","62,75 M","115,37 M",183.85
" Pendapatan Hibah","0,00 M","2,25 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","2,20 M",0
" Pendapatan Transfer Antar Daerah","62,75 M","110,92 M",176.76
" Belanja Daerah","1.116,16 M","991,90 M",88.87
" Belanja Pegawai","411,74 M","372,59 M",90.49
" Belanja Pegawai","411,74 M","372,59 M",90.49
" Belanja Barang Jasa","383,72 M","333,72 M",86.97
" Belanja Barang dan Jasa","383,72 M","333,72 M",86.97
" Belanja Modal","147,22 M","112,31 M",76.29
" Belanja Modal","147,22 M","112,31 M",76.29
" Belanja Lainnya","173,47 M","173,28 M",99.89
" Belanja Bagi Hasil","16,99 M","18,82 M",110.81
" Belanja Bantuan Keuangan","75,55 M","73,76 M",97.63
" Belanja Hibah","48,75 M","65,16 M",133.67
" Belanja Bantuan Sosial","14,38 M","15,53 M",108.00
" Belanja Tidak Terduga","17,80 M","0,01 M",0.07
" Pembiayaan Daerah","195,57 M","241,05 M",123.26
" Penerimaan Pembiayaan Daerah","200,00 M","243,30 M",121.65
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","200,00 M","243,30 M",121.65
" Pengeluaran Pembiayaan Daerah","4,43 M","2,25 M",50.83
" Penyertaan Modal Daerah","4,43 M","2,25 M",50.83
