akun,anggaran,realisasi,persentase
" Pendapatan Daerah","2.076,98 M","2.171,75 M",104.56
" PAD","752,80 M","718,34 M",95.42
" Pajak Daerah","606,00 M","547,45 M",90.34
" Retribusi Daerah","52,90 M","41,46 M",78.38
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","28,89 M","29,51 M",102.14
" Lain-Lain PAD yang Sah","65,01 M","99,92 M",153.71
" TKDD","1.084,31 M","1.204,34 M",111.07
" Pendapatan Transfer Pemerintah Pusat","1.084,31 M","1.204,34 M",111.07
" Pendapatan Lainnya","239,88 M","249,07 M",103.83
" Pendapatan Hibah","0,00 M","2,55 M",0
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","103,32 M","0,46 M",0.45
" Pendapatan Transfer Antar Daerah","136,56 M","246,06 M",180.19
" Belanja Daerah","2.219,29 M","2.188,32 M",98.60
" Belanja Pegawai","873,56 M","805,32 M",92.19
" Belanja Pegawai","873,56 M","805,32 M",92.19
" Belanja Barang Jasa","896,68 M","951,13 M",106.07
" Belanja Barang dan Jasa","896,68 M","951,13 M",106.07
" Belanja Modal","246,90 M","310,83 M",125.89
" Belanja Modal","246,90 M","310,83 M",125.89
" Belanja Lainnya","202,14 M","121,04 M",59.88
" Belanja Hibah","104,81 M","102,19 M",97.50
" Belanja Bantuan Sosial","11,88 M","12,47 M",105.00
" Belanja Tidak Terduga","85,46 M","6,38 M",7.47
" Pembiayaan Daerah","142,31 M","477,02 M",335.20
" Penerimaan Pembiayaan Daerah","149,59 M","484,29 M",323.76
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","149,59 M","484,29 M",323.76
" Pengeluaran Pembiayaan Daerah","7,28 M","7,28 M",100.00
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","7,28 M","7,28 M",100.00
