akun,anggaran,realisasi,persentase
" Pendapatan Daerah","877,51 M","918,57 M",104.68
" PAD","201,83 M","156,27 M",77.42
" Pajak Daerah","41,06 M","45,12 M",109.89
" Retribusi Daerah","8,73 M","6,78 M",77.59
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,10 M","0,89 M",80.13
" Lain-Lain PAD yang Sah","150,94 M","103,48 M",68.56
" TKDD","589,60 M","652,14 M",110.61
" Pendapatan Transfer Pemerintah Pusat","589,60 M","652,14 M",110.61
" Pendapatan Lainnya","86,07 M","110,16 M",127.99
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","8,24 M","8,06 M",97.86
" Pendapatan Transfer Antar Daerah","77,83 M","102,10 M",131.18
" Belanja Daerah","1.022,31 M","1.037,63 M",101.50
" Belanja Pegawai","328,05 M","323,98 M",98.76
" Belanja Pegawai","328,05 M","323,98 M",98.76
" Belanja Barang Jasa","511,62 M","500,99 M",97.92
" Belanja Barang dan Jasa","511,62 M","500,99 M",97.92
" Belanja Modal","124,27 M","160,88 M",129.46
" Belanja Modal","124,27 M","160,88 M",129.46
" Belanja Lainnya","58,37 M","51,79 M",88.72
" Belanja Hibah","25,27 M","25,89 M",102.42
" Belanja Bantuan Sosial","22,05 M","23,57 M",106.87
" Belanja Tidak Terduga","11,04 M","2,33 M",21.13
" Pembiayaan Daerah","144,81 M","238,12 M",164.44
" Penerimaan Pembiayaan Daerah","144,81 M","240,12 M",165.82
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","144,81 M","239,94 M",165.70
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,18 M",0
" Pengeluaran Pembiayaan Daerah","0,00 M","2,00 M",0
" Penyertaan Modal Daerah","0,00 M","2,00 M",0
