akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.038,38 M","466,26 M",44.90
" PAD","260,09 M","46,77 M",17.98
" Pajak Daerah","52,06 M","32,77 M",62.94
" Retribusi Daerah","97,72 M","4,39 M",4.49
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,57 M","6,30 M",95.79
" Lain-Lain PAD yang Sah","103,74 M","3,31 M",3.20
" TKDD","642,69 M","374,09 M",58.21
" Pendapatan Transfer Pemerintah Pusat","642,69 M","374,09 M",58.21
" Pendapatan Lainnya","135,60 M","45,40 M",33.48
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","11,97 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","123,63 M","45,40 M",36.72
" Belanja Daerah","1.118,74 M","486,42 M",43.48
" Belanja Pegawai","415,68 M","266,55 M",64.12
" Belanja Pegawai","415,68 M","266,55 M",64.12
" Belanja Barang dan Jasa","449,33 M","152,14 M",33.86
" Belanja Barang dan Jasa","449,33 M","152,14 M",33.86
" Belanja Modal","150,30 M","13,42 M",8.93
" Belanja Modal","150,30 M","13,42 M",8.93
" Belanja Lainnya","103,43 M","54,31 M",52.50
" Belanja Hibah","79,27 M","46,11 M",58.16
" Belanja Bantuan Sosial","21,16 M","7,04 M",33.29
" Belanja Tidak Terduga","3,00 M","1,16 M",38.59
" Pembiayaan Daerah","80,36 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","167,78 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","167,78 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","87,42 M","0,00 M",0.00
" Pembentukan Dana Cadangan","87,42 M","0,00 M",0.00
