akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.984,27 M","1.732,74 M",87.32
" PAD","264,68 M","207,62 M",78.44
" Pajak Daerah","53,02 M","39,98 M",75.40
" Retribusi Daerah","27,96 M","26,31 M",94.10
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,00 M","4,74 M",94.86
" Lain-Lain PAD yang Sah","178,70 M","136,59 M",76.43
" TKDD","1.545,88 M","1.381,89 M",89.39
" Pendapatan Transfer Pemerintah Pusat","1.545,88 M","1.381,89 M",89.39
" Pendapatan Lainnya","173,71 M","143,23 M",82.45
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","41,69 M","0,00 M",0.00
" Pendapatan Transfer Antar Daerah","132,02 M","143,23 M",108.49
" Belanja Daerah","2.169,74 M","1.850,60 M",85.29
" Belanja Pegawai","923,49 M","828,05 M",89.67
" Belanja Pegawai","923,49 M","828,05 M",89.67
" Belanja Barang dan Jasa","611,86 M","495,97 M",81.06
" Belanja Barang dan Jasa","611,86 M","495,97 M",81.06
" Belanja Modal","171,15 M","96,19 M",56.20
" Belanja Modal","171,15 M","96,19 M",56.20
" Belanja Lainnya","463,24 M","430,39 M",92.91
" Belanja Bagi Hasil","7,43 M","7,43 M",100.00
" Belanja Bantuan Keuangan","315,44 M","313,25 M",99.31
" Belanja Subsidi","1,00 M","1,00 M",100.00
" Belanja Hibah","131,75 M","106,59 M",80.91
" Belanja Bantuan Sosial","2,11 M","1,36 M",64.10
" Belanja Tidak Terduga","5,50 M","0,76 M",13.76
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","185,46 M","177,23 M",95.56
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","155,46 M","177,23 M",114.00
" Pencairan Dana Cadangan","30,00 M","0,00 M",0.00
