akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.996,89 M","2.057,23 M",103.02
" PAD","343,73 M","334,71 M",97.38
" Pajak Daerah","37,57 M","37,48 M",99.77
" Retribusi Daerah","13,25 M","280,82 M","2,119.27"
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","9,50 M","7,57 M",79.67
" Lain-Lain PAD yang Sah","283,41 M","8,83 M",3.12
" TKDD","1.537,17 M","1.567,61 M",101.98
" Pendapatan Transfer Pemerintah Pusat","1.537,17 M","1.567,61 M",101.98
" Pendapatan Lainnya","116,00 M","154,91 M",133.54
" Pendapatan Hibah","0,00 M","10,69 M",0
" Pendapatan Transfer Antar Daerah","116,00 M","144,21 M",124.32
" Belanja Daerah","2.051,99 M","1.968,19 M",95.92
" Belanja Pegawai","845,39 M","796,15 M",94.18
" Belanja Pegawai","845,39 M","796,15 M",94.18
" Belanja Barang dan Jasa","500,73 M","483,66 M",96.59
" Belanja Barang dan Jasa","500,73 M","483,66 M",96.59
" Belanja Modal","175,84 M","168,17 M",95.64
" Belanja Modal","175,84 M","168,17 M",95.64
" Belanja Lainnya","530,02 M","520,20 M",98.15
" Belanja Bagi Hasil","5,08 M","4,02 M",79.11
" Belanja Bantuan Keuangan","318,14 M","322,96 M",101.52
" Belanja Bunga","7,19 M","7,52 M",104.58
" Belanja Hibah","193,21 M","184,07 M",95.27
" Belanja Bantuan Sosial","1,41 M","1,42 M",101.26
" Belanja Tidak Terduga","5,00 M","0,19 M",3.88
" Pembiayaan Daerah","55,10 M","63,09 M",114.51
" Penerimaan Pembiayaan Daerah","109,94 M","119,01 M",108.25
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","93,19 M","119,01 M",127.71
" Pencairan Dana Cadangan","16,00 M","0,00 M",0.00
" Penerimaan Kembali Pemberian Pinjaman Daerah","0,75 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","54,84 M","55,92 M",101.97
" Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","54,84 M","55,92 M",101.97
