akun,anggaran,realisasi,persentase
" Pendapatan Daerah","941,02 M","477,94 M",50.79
" PAD","202,90 M","43,94 M",21.66
" Pajak Daerah","58,83 M","30,38 M",51.63
" Retribusi Daerah","15,52 M","8,52 M",54.89
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,51 M","1,54 M",101.76
" Lain-Lain PAD yang Sah","127,03 M","3,51 M",2.76
" TKDD","647,83 M","383,04 M",59.13
" Pendapatan Transfer Pemerintah Pusat","647,83 M","383,04 M",59.13
" Pendapatan Lainnya","90,30 M","50,96 M",56.44
" Pendapatan Transfer Antar Daerah","90,30 M","50,96 M",56.44
" Belanja Daerah","1.084,05 M","517,35 M",47.72
" Belanja Pegawai","483,85 M","292,77 M",60.51
" Belanja Pegawai","483,85 M","292,77 M",60.51
" Belanja Barang dan Jasa","418,28 M","160,42 M",38.35
" Belanja Barang dan Jasa","418,28 M","160,42 M",38.35
" Belanja Modal","72,68 M","8,22 M",11.31
" Belanja Modal","72,68 M","8,22 M",11.31
" Belanja Lainnya","109,24 M","55,93 M",51.20
" Belanja Hibah","103,01 M","54,69 M",53.10
" Belanja Bantuan Sosial","0,24 M","0,19 M",80.69
" Belanja Tidak Terduga","6,00 M","1,05 M",17.46
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","143,03 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","143,03 M","0,00 M",0.00
