akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.819,83 M","1.806,95 M",99.29
" PAD","301,04 M","271,60 M",90.22
" Pajak Daerah","90,94 M","64,91 M",71.37
" Retribusi Daerah","16,19 M","14,07 M",86.86
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,04 M","5,12 M",101.55
" Lain-Lain PAD yang Sah","188,86 M","187,51 M",99.28
" TKDD","1.396,76 M","1.395,01 M",99.87
" Pendapatan Transfer Pemerintah Pusat","1.396,76 M","1.395,01 M",99.87
" Pendapatan Lainnya","122,03 M","140,34 M",115.01
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
" Pendapatan Transfer Antar Daerah","122,03 M","140,34 M",115.01
" Belanja Daerah","2.079,92 M","1.869,07 M",89.86
" Belanja Pegawai","747,85 M","687,13 M",91.88
" Belanja Pegawai","747,85 M","687,13 M",91.88
" Belanja Barang dan Jasa","633,45 M","544,82 M",86.01
" Belanja Barang dan Jasa","633,45 M","544,82 M",86.01
" Belanja Modal","300,92 M","270,04 M",89.74
" Belanja Modal","300,92 M","270,04 M",89.74
" Belanja Lainnya","397,70 M","367,08 M",92.30
" Belanja Bagi Hasil","10,72 M","7,35 M",68.54
" Belanja Bantuan Keuangan","238,86 M","242,19 M",101.39
" Belanja Hibah","107,19 M","104,81 M",97.78
" Belanja Bantuan Sosial","12,43 M","12,10 M",97.28
" Belanja Tidak Terduga","28,50 M","0,64 M",2.26
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","260,09 M","172,93 M",66.49
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","220,09 M","132,93 M",60.40
" Pencairan Dana Cadangan","40,00 M","40,00 M",100.00
