akun,anggaran,realisasi,persentase
" Pendapatan Daerah","1.008,63 M","776,31 M",76.97
" PAD","250,00 M","164,88 M",65.95
" Pajak Daerah","213,75 M","150,22 M",70.28
" Retribusi Daerah","25,71 M","4,08 M",15.87
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,50 M","2,74 M",78.25
" Lain-Lain PAD yang Sah","7,04 M","7,84 M",111.41
" TKDD","686,66 M","528,44 M",76.96
" Pendapatan Transfer Pemerintah Pusat","686,66 M","528,44 M",76.96
" Pendapatan Lainnya","71,97 M","82,99 M",115.32
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","9,22 M","5,97 M",64.73
" Pendapatan Transfer Antar Daerah","62,75 M","77,03 M",122.75
" Belanja Daerah","1.111,83 M","588,33 M",52.92
" Belanja Pegawai","399,07 M","267,14 M",66.94
" Belanja Pegawai","399,07 M","267,14 M",66.94
" Belanja Barang dan Jasa","387,52 M","200,27 M",51.68
" Belanja Barang dan Jasa","387,52 M","200,27 M",51.68
" Belanja Modal","126,72 M","17,74 M",14.00
" Belanja Modal","126,72 M","17,74 M",14.00
" Belanja Lainnya","198,52 M","103,18 M",51.97
" Belanja Bagi Hasil","23,95 M","13,13 M",54.85
" Belanja Bantuan Keuangan","71,65 M","61,70 M",86.11
" Belanja Hibah","41,51 M","22,53 M",54.27
" Belanja Bantuan Sosial","10,84 M","5,82 M",53.65
" Belanja Tidak Terduga","50,57 M","0,00 M",0.00
" Pembiayaan Daerah","103,20 M","0,00 M",0.00
" Penerimaan Pembiayaan Daerah","103,20 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","103,20 M","0,00 M",0.00
" Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
" Pembentukan Dana Cadangan","0,00 M","0,00 M",0
" Penyertaan Modal Daerah","0,00 M","0,00 M",0
