akun,anggaran,realisasi,persentase
" Pendapatan Daerah","911,20 M","716,97 M",78.68
" PAD","152,10 M","134,13 M",88.19
" Pajak Daerah","50,77 M","43,05 M",84.79
" Retribusi Daerah","15,44 M","8,82 M",57.09
" Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,14 M","6,28 M",102.27
" Lain-Lain PAD yang Sah","79,74 M","75,99 M",95.29
" TKDD","641,22 M","469,51 M",73.22
" Pendapatan Transfer Pemerintah Pusat","641,22 M","469,51 M",73.22
" Pendapatan Lainnya","117,89 M","113,33 M",96.13
" Pendapatan Hibah","3,00 M","0,00 M",0.00
" Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","11,41 M","9,00 M",78.95
" Pendapatan Transfer Antar Daerah","103,48 M","104,32 M",100.81
" Belanja Daerah","1.139,00 M","667,39 M",58.59
" Belanja Pegawai","416,74 M","292,38 M",70.16
" Belanja Pegawai","416,74 M","292,38 M",70.16
" Belanja Barang dan Jasa","441,65 M","286,37 M",64.84
" Belanja Barang dan Jasa","441,65 M","286,37 M",64.84
" Belanja Modal","204,05 M","44,97 M",22.04
" Belanja Modal","204,05 M","44,97 M",22.04
" Belanja Lainnya","76,55 M","43,67 M",57.04
" Belanja Hibah","44,82 M","26,76 M",59.70
" Belanja Bantuan Sosial","23,74 M","15,41 M",64.94
" Belanja Tidak Terduga","8,00 M","1,50 M",18.70
" Pembiayaan Daerah","0,00 M","0,00 M",0
" Penerimaan Pembiayaan Daerah","227,80 M","0,00 M",0.00
" Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","200,35 M","0,00 M",0.00
" Pencairan Dana Cadangan","27,45 M","0,00 M",0.00
